"district"	"Glofas_st"	"thr_stat"	"thr"	"floods"	"floods_correct"	"floods_incorrect"	"protocol_triggered"	"triggered_in_vain"	"detection_ratio"	"false_alarm_ratio"
"1"	"KE0030130063"	"KEGVS11"	"q95"	317.885	5	2	3	11	9	0.4	0.82
"1"	"KE0030130063"	"KEGVS10"	"q95"	6.782711	5	4	1	12	8	0.8	0.67
"1"	"KE0030130063"	"KEGVS10"	"rl2"	30.8739757537842	5	1	4	3	2	0.2	0.67
"1"	"KE0030130063"	"KEGVS10"	"rl5"	59.4386291503906	5	1	4	1	0	0.2	0
"1"	"KE0030130064"	"KEGVS11"	"q95"	317.885	5	2	3	11	9	0.4	0.82
"1"	"KE0030130064"	"KEGVS10"	"q95"	6.782711	5	4	1	12	8	0.8	0.67
"1"	"KE0030130064"	"KEGVS10"	"rl2"	30.8739757537842	5	1	4	3	2	0.2	0.67
"1"	"KE0030130064"	"KEGVS10"	"rl5"	59.4386291503906	5	1	4	1	0	0.2	0
"1"	"KE0030130065"	"KEGVS11"	"q95"	317.885	5	2	3	11	9	0.4	0.82
"1"	"KE0030130065"	"KEGVS10"	"q95"	6.782711	5	4	1	12	8	0.8	0.67
"1"	"KE0030130065"	"KEGVS10"	"rl2"	30.8739757537842	5	1	4	3	2	0.2	0.67
"1"	"KE0030130065"	"KEGVS10"	"rl5"	59.4386291503906	5	1	4	1	0	0.2	0
"1"	"KE0030130066"	"KEGVS11"	"q95"	317.885	5	2	3	11	9	0.4	0.82
"1"	"KE0030130066"	"KEGVS10"	"q95"	6.782711	5	4	1	12	8	0.8	0.67
"1"	"KE0030130066"	"KEGVS10"	"rl2"	30.8739757537842	5	1	4	3	2	0.2	0.67
"1"	"KE0030130066"	"KEGVS10"	"rl5"	59.4386291503906	5	1	4	1	0	0.2	0
"1"	"KE0030150071"	"KEGVS11"	"q95"	317.885	5	2	3	11	9	0.4	0.82
"1"	"KE0030150071"	"KEGVS10"	"q95"	6.782711	5	4	1	12	8	0.8	0.67
