"district"	"Glofas_st"	"thr_stat"	"thr"	"floods"	"floods_correct"	"floods_incorrect"	"protocol_triggered"	"triggered_in_vain"	"detection_ratio"	"false_alarm_ratio"
"1"	"020101"	"G1053"	"q95"	828.12744	16	10	6	16	6	0.62	0.38
"1"	"020304"	"G1067"	"q90"	525.3683	6	4	2	8	4	0.67	0.5
"1"	"020304"	"G1067"	"q95"	705.87744	6	2	4	2	0	0.33	0
"1"	"070111"	"G6107"	"q85"	1291.48116	2	1	1	2	1	0.5	0.5
"1"	"070111"	"G6107"	"q90"	1400.5417	2	1	1	1	0	0.5	0
"1"	"030204"	"G4965"	"q30"	9.5069256	2	1	1	3	2	0.5	0.67
"1"	"030204"	"G4965"	"q50"	17.719368	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4965"	"q75"	71.35102	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4965"	"q80"	92.09456	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4957"	"q50"	21.36059	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4957"	"q75"	113.67116	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4957"	"q80"	140.71132	2	1	1	5	4	0.5	0.8
"1"	"030204"	"G4957"	"q85"	172.39453	2	1	1	5	4	0.5	0.8
"1"	"040701"	"G1074"	"q75"	199.1944	3	2	1	4	2	0.67	0.5
"1"	"040701"	"G1074"	"q80"	245.723072	3	2	1	4	2	0.67	0.5
"1"	"040701"	"G1074"	"q85"	293.621	3	2	1	4	2	0.67	0.5
"1"	"040701"	"G1074"	"q90"	357.2727	3	1	2	4	3	0.33	0.75
"1"	"050901"	"G5115"	"q80"	602.2263	4	2	2	30	28	0.5	0.93
"1"	"050901"	"G5115"	"q85"	701.045448	4	2	2	24	22	0.5	0.92
"1"	"050901"	"G5115"	"q90"	840.1493	4	2	2	9	7	0.5	0.78
"1"	"050901"	"G5141"	"q95"	1692.8464	4	2	2	18	16	0.5	0.89
"1"	"020303"	"G1053"	"q95"	828.12744	4	2	2	6	4	0.5	0.67
"1"	"120204"	"G5056"	"q75"	191.86447	3	2	1	21	19	0.67	0.9
"1"	"120204"	"G5056"	"q80"	212.41365	3	2	1	24	22	0.67	0.92
"1"	"120204"	"G5056"	"q85"	232.10114	3	2	1	24	22	0.67	0.92
"1"	"120204"	"G5056"	"q90"	260.93933	3	2	1	22	20	0.67	0.91
"1"	"040803"	"G5076"	"q50"	320.10373	2	1	1	7	6	0.5	0.86
"1"	"040803"	"G5076"	"q75"	734.65265	2	1	1	6	5	0.5	0.83
"1"	"040803"	"G5076"	"q80"	857.090880000001	2	1	1	5	4	0.5	0.8
"1"	"040803"	"G5076"	"q85"	1014.31074	2	1	1	4	3	0.5	0.75
"1"	"040803"	"G5076"	"q90"	1185.3722	2	1	1	1	0	0.5	0
"1"	"041105"	"G5081"	"q85"	1078.23634	2	1	1	1	0	0.5	0
"1"	"050801"	"G5115"	"q80"	602.2263	2	1	1	1	0	0.5	0
"1"	"050801"	"G5115"	"q85"	701.045448	2	1	1	1	0	0.5	0
"1"	"050801"	"G5115"	"q90"	840.1493	2	1	1	1	0	0.5	0
"1"	"120207"	"G5056"	"q90"	260.93933	4	3	1	5	2	0.75	0.4
"1"	"120207"	"G5056"	"q95"	307.71423	4	1	3	3	2	0.25	0.67
"1"	"120102"	"G1603"	"q75"	914.3923	6	5	1	14	11	0.83	0.79
"1"	"120102"	"G1603"	"q80"	965.03284	6	5	1	14	11	0.83	0.79
"1"	"120102"	"G1603"	"q85"	1025.61686	6	5	1	13	9	0.83	0.69
"1"	"120102"	"G1603"	"q90"	1101.23082	6	5	1	11	7	0.83	0.64
"1"	"120102"	"G1603"	"q95"	1222.27418	6	3	3	7	4	0.5	0.57
"1"	"120102"	"G5056"	"q90"	260.93933	6	4	2	19	16	0.67	0.84
"1"	"120102"	"G5056"	"q95"	307.71423	6	2	4	14	12	0.33	0.86
"1"	"071012"	"G1901"	"q50"	2010.5155	2	1	1	2	1	0.5	0.5
"1"	"071012"	"G1901"	"q75"	3021.2395	2	1	1	3	2	0.5	0.67
"1"	"071012"	"G1901"	"q80"	3223.91174	2	1	1	3	2	0.5	0.67
"1"	"071012"	"G1901"	"q85"	3485.21288	2	1	1	4	3	0.5	0.75
"1"	"041008"	"G6109"	"q85"	338.0046	2	1	1	4	3	0.5	0.75
"1"	"070706"	"G1901"	"q95"	4368.585	5	3	2	11	8	0.6	0.73
"1"	"020105"	"G1053"	"q75"	419.4438	4	2	2	6	4	0.5	0.67
"1"	"020105"	"G1053"	"q80"	529.7198	4	2	2	5	3	0.5	0.6
