"","95% lower CI","Estimate","95% upper CI"
"1.7-year return level",89.4967073096043,138.629021089881,187.761334870157
"2-year return level",109.300175646105,172.500812723591,235.701449801077
"5-year return level",220.179172773838,469.235995742266,718.292818710695
"10-year return level",208.509967006511,909.012371284739,1609.51477556297
