pcode,COUNTY_,CNSTTNC_1,wards_2
KE0030110055,Kilifi,Kilifi North,Matsangoni
KE0030110057,Kilifi,Kilifi North,Mnarani
KE0030120059,Kilifi,Kilifi South,Mwarakaya
KE0030120061,Kilifi,Kilfi South,Chasimba
KE0030130063,Kilifi,Kaloleni,Mariakani
KE0030130064,Kilifi,Kaloleni,Kayafungo
KE0030130065,Kilifi,Kaloleni,Kaloleni
KE0030130066,Kilifi,Kaloleni,Mwanamwinga
KE0030140067,Kilifi,Rabai,Mwawesa
KE0030140068,Kilifi,Rabai,Ruruma
KE0030140069,Kilifi,Rabai,Kambe/Ribe
KE0030140070,Kilifi,Rabai,Rabai/Kisurutini
KE0030150071,Kilifi,Ganze,Ganze
KE0030150072,Kilifi,Ganze,Bamba
KE0030150073,Kilifi,Ganze,Jaribuni
KE0030150074,Kilifi,Ganze,Sokoke
KE0030160075,Kilifi,Malindi,Jilore
KE0030160076,Kilifi,Malindi,Kakuyuni
KE0030170080,Kilifi,Magarini,Marafa
KE0030170081,Kilifi,Magarini,Magarini
KE0030170082,Kilifi,Magarini,Gongoni
KE0030170083,Kilifi,Magarini,Adu
KE0030170084,Kilifi,Magarini,Garashi
KE0020070031,Kwale,Msabweni,Gombato Bogwe
KE0020080035,Kwale,Lunga Lunga,Pongwe/Kikoneni
KE0020080036,Kwale,Lunga Lunga,Dzombo
KE0020080037,Kwale,Lunga Lunga,Mwereni
KE0020080038,Kwale,Lunga Lunga,Vanga
KE0020090039,Kwale,Matuga,Tsimba Golini
KE0020090042,Kwale,Matuga,Kubo South
KE0020090043,Kwale,Matuga,Mkongani
KE0020100044,Kwale,Kinango,Ndavaya
KE0020100045,Kwale,Kinango,Puma
KE0020100046,Kwale,Kinango,Kinango
KE0020100047,Kwale,Kinango,Mackinon Road
KE0020100048,Kwale,Kinango,Chengoni/Samburu
KE0020100049,Kwale,Kinango,Mwabila
KE0020100050,Kwale,Kinango,Kasemeni
KE0160760379,Machakos,Yatta,Ikombe
KE0160770381,Machakos,Kangundo,Kangundo North
KE0160770382,Machakos,Kangundo,Kangundo Central
KE0160770383,Machakos,Kangundo,Kangundo East
KE0160770384,Machakos,Kangundo,Kangundo West
KE0160780385,Machakos,Matungulu,Tala
