"","95% lower CI","Estimate","95% upper CI"
"1.7-year return level",331.295667949625,368.788274370099,406.280880790573
"2-year return level",347.962361977059,387.836226094154,427.710090211248
"5-year return level",416.599773201962,474.697271881227,532.794770560492
"10-year return level",454.197247094473,531.6993805889,609.201514083326
