,95% lower CI,Estimate,95% upper CI
1.7-year return level,571.5464703,677.8136727,784.0808752
2-year return level,639.6122543,759.3090376,879.0058209
5-year return level,977.961886,1191.608998,1405.256109
10-year return level,1183.687842,1538.857041,1894.02624
