"","95% lower CI","Estimate","95% upper CI"
"1.7-year return level",48.1687215208041,65.675581503707,83.18244148661
"2-year return level",57.655801473107,76.400912427258,95.146023381409
"5-year return level",98.7795754416911,124.734567686612,150.689559931533
"10-year return level",120.640355533502,155.943355735508,191.246355937513
